,acc
0,0.9791666666666666
1,0.2865
2,0.98
3,0.9781666666666666
4,0.091
5,0.9736666666666667
6,0.8951666666666667
7,0.9131666666666667
8,0.9725
9,0.7988333333333333
10,0.973
11,0.978
12,0.9371666666666667
13,0.9808333333333333
14,0.921
15,0.8716666666666667
16,0.9813333333333333
17,0.9673333333333334
18,0.9765
19,0.9593333333333334
20,0.927
21,0.9823333333333333
22,0.6911666666666667
23,0.5928333333333333
24,0.9775
25,0.099
26,0.9713333333333334
27,0.9768333333333333
28,0.9556666666666667
29,0.9775
30,0.8928333333333334
31,0.9576666666666667
32,0.9776666666666667
33,0.9371666666666667
34,0.9173333333333333
35,0.9533333333333334
36,0.9
37,0.9698333333333333
38,0.9248333333333333
39,0.8925
40,0.10983333333333334
41,0.9233333333333333
42,0.9203333333333333
43,0.9123333333333333
44,0.9655
45,0.978
46,0.9353333333333333
47,0.9626666666666667
48,0.9656666666666667
49,0.9576666666666667
50,0.9705
51,0.9413333333333334
52,0.1075
53,0.962
54,0.9213333333333333
55,0.9418333333333333
56,0.9708333333333333
57,0.1235
58,0.9691666666666666
59,0.9771666666666666
60,0.10983333333333334
61,0.9363333333333334
62,0.9678333333333333
63,0.9678333333333333
64,0.9683333333333334
65,0.9426666666666667
66,0.9703333333333334
67,0.9665
68,0.8991666666666667
69,0.9276666666666666
70,0.942
71,0.9363333333333334
72,0.9468333333333333
73,0.9053333333333333
74,0.9605
75,0.9706666666666667
76,0.9648333333333333
77,0.9753333333333334
78,0.9576666666666667
79,0.9441666666666667
80,0.9745
81,0.097
82,0.9631666666666666
83,0.9195
84,0.9275
85,0.9736666666666667
86,0.9031666666666667
87,0.9061666666666667
88,0.10983333333333334
89,0.9148333333333334
90,0.9248333333333333
91,0.9625
92,0.9606666666666667
93,0.9751666666666666
94,0.9573333333333334
95,0.9025
96,0.9248333333333333
97,0.9706666666666667
98,0.9796666666666667
99,0.9716666666666667
