,acc
0,0.973
1,0.9393333333333334
2,0.9791666666666666
3,0.9763333333333334
4,0.8791666666666667
5,0.9671666666666666
6,0.9603333333333334
7,0.10983333333333334
8,0.9783333333333334
9,0.929
10,0.9771666666666666
11,0.9786666666666667
12,0.9593333333333334
13,0.969
14,0.10733333333333334
15,0.946
16,0.9765
17,0.948
18,0.10983333333333334
19,0.977
20,0.8765
21,0.9806666666666667
22,0.966
23,0.10983333333333334
24,0.9765
25,0.8776666666666667
26,0.97
27,0.979
28,0.9236666666666666
29,0.9751666666666666
30,0.7645
31,0.10116666666666667
32,0.95
33,0.9433333333333334
34,0.9778333333333333
35,0.9766666666666667
36,0.9343333333333333
37,0.9708333333333333
38,0.9628333333333333
39,0.9705
40,0.9773333333333334
41,0.9338333333333333
42,0.905
43,0.9783333333333334
44,0.968
45,0.965
46,0.9196666666666666
47,0.938
48,0.9681666666666666
49,0.9673333333333334
50,0.975
51,0.9736666666666667
52,0.9446666666666667
53,0.9768333333333333
54,0.976
55,0.9568333333333333
56,0.9703333333333334
57,0.9065
58,0.9691666666666666
59,0.9771666666666666
60,0.9516666666666667
61,0.9646666666666667
62,0.10983333333333334
63,0.8898333333333334
64,0.9675
65,0.9645
66,0.9735
67,0.9651666666666666
68,0.9013333333333333
69,0.9736666666666667
70,0.25116666666666665
71,0.9763333333333334
72,0.9773333333333334
73,0.933
74,0.975
75,0.973
76,0.957
77,0.9691666666666666
78,0.17233333333333334
79,0.10983333333333334
80,0.967
81,0.9658333333333333
82,0.9773333333333334
83,0.9733333333333334
84,0.9235
85,0.9691666666666666
86,0.9701666666666666
87,0.96
88,0.9675
89,0.922
90,0.9615
91,0.98
92,0.959
93,0.9541666666666667
94,0.09933333333333333
95,0.8138333333333333
96,0.97
97,0.9081666666666667
98,0.9083333333333333
99,0.9778333333333333
